category,n,video_acc,video_recall,video_f1,audio_acc,audio_recall,audio_f1,any_acc,any_recall,any_f1
RealVideo-RealAudio,75,1.0,0.0,0.0,0.9866666666666667,0.0,0.0,0.9866666666666667,0.0,0.0
FakeVideo-RealAudio,1485,0.9973063973063973,0.9973063973063973,0.9986513823331086,0.9878787878787879,0.0,0.0,0.9973063973063973,0.9973063973063973,0.9986513823331086
RealVideo-FakeAudio,75,1.0,0.0,0.0,0.9466666666666667,0.9466666666666667,0.9726027397260274,0.9333333333333333,0.9333333333333333,0.9655172413793104
FakeVideo-FakeAudio,1641,1.0,1.0,1.0,0.987812309567337,0.987812309567337,0.9938687921520539,1.0,1.0,1.0
