config,any_accuracy,any_balanced_accuracy,any_precision,any_recall,any_f1,any_auc,video_auc,audio_auc
Full multimodal,0.996947496947497,0.9919275226491722,0.9996868149076104,0.9971883786316776,0.9984360337816703,0.9994126835363949,0.9991042866282789,0.9982409150678381
No image,0.5567765567765568,0.7536644798500469,0.9982905982905983,0.5473289597000938,0.7070217917675545,0.7617994376757264,0.5055960759223715,0.9960154428904429
No audio,0.9975579975579976,0.9922399250234302,0.9996870109546165,0.9978131833801936,0.9987492182614134,0.9993335416015828,0.9990989550010663,0.997428613053613
No sync,0.9761904761904762,0.9878163074039363,1.0,0.9756326148078726,0.9876660341555977,0.9931188170363427,0.9993857965451056,0.8580946297292452
Only image,0.9761904761904762,0.9878163074039363,1.0,0.9756326148078726,0.9876660341555977,0.9920712277413307,0.9993090211132438,0.7836861589265436
Only audio,0.304029304029304,0.5852671040299906,0.9904153354632588,0.29053420805998126,0.4492753623188406,0.639298135999167,0.48912774578801455,0.7842377174107943
Only sync,0.5583028083028083,0.7544454857856919,0.9982954545454545,0.5488909715713839,0.7083249344890143,0.7595605539935436,0.5060375346555769,0.9938867222521068
